FoodNumber	FoodGroupCode	FoodName	FoodCategory	Base	Units	Description	Dilution	Comment	EdiblePortion	ACAR	ALCO	BCAR	BCRYPT	BIOT	CA	CHO	CHOL	CL	CMON	CN3	CN6	CU	ENGFIB	FAT	FE	FOLT	FRUCT	GLUC	HFE	I	K	KCALS	KJ	LACT	MALT	MG	MILK	MN	NA	NCF	NHFE	NIACEQU	NMILK	OSUG	P	PANTO	PROT	RET	RIBO	SATFA	SE	STAR	SUCR	THIA	TOTCAR	TOTNIT	TOTSUG	TRANS	VITA	VITB12	VITB6	VITC	VITD	VITE	WATER	ZN	Fruit	DriedFruit	FruitJuice	SmoothieFruit	Tomatoes	TomatoPuree	Brassicaceae	YellowRedGreen	Beans	Nuts	OtherVeg	Beef	Lamb	Pork	ProcessRedMeat	OtherRedMeat	Burgers	Sausages	Offal	Poultry	ProcessedPoultry	GameBirds	WhiteFish	OilyFish	CannedTuna	Shellfish	CottageCheese	CheddarCheese	OtherCheese
1	1R	ARROWROOT POWDER	F	100	Grams	 	1	 	1	0	0	0	0	0	7	94	0	7	.03	0	.05	.22	.1	.1	2	0	0	0	0	3	18	355	1515	0	0	8	0	.47	5	5.7	2	.1	0	0	27	0	.4	0	0	.02	1	94	0	0	0	.1	0	0	0	0	0	0	0	0	12.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1R	PEARL BARLEY WHITE DRIED	F	100	Grams	 	1	 	1	0	0	0	0	0	20	83.6	0	110	.14	.07	.7	.4	10.2	1.7	3	20	0	0	0	7	270	360	1535	0	0	65	0	1.3	3	5.83	3	4.8	0	0	210	.5	7.9	0	.05	.29	1	83.6	0	.12	0	1.4	0	0	0	0	.2	0	0	.4	10.6	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1R	BARLEY PEARL WHITE BOILED IN WATER	F	100	Grams	 	1	 	1	0	0	0	0	0	7	27.6	0	41	.05	.03	.25	.14	3.5	.6	1	3	0	0	0	2	92	120	510	0	0	22	0	.44	1	5.83	1	1.3	0	0	71	.1	2.7	0	.01	.1	0	27.6	0	.02	0	.5	0	0	0	0	0	0	0	.1	69.6	.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1R	BARLEY WHOLE GRAIN DRIED	F	100	Grams	 	1	 	1	0	0	0	0	10	50	64	0	23	.25	.11	1.15	.3	14.8	2.1	6	50	.1	.1	0	7	560	301	1282	0	.5	91	1.8	1.7	4	5.83	6	7.8	0	0	380	.7	10.6	0	.1	.53	1	62.2	1	.31	0	1.8	1.8	0	0	0	.6	0	0	.9	11.7	3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	1R	BARLEY WHOLEGRAIN BOILED IN WATER	F	100	Grams	 	1	 	1	0	0	0	0	3	17	21.3	0	8	.08	.04	.38	.1	4.9	.7	2	17	0	0	0	2	187	100	426	0	.2	30	.6	.57	1	5.83	2	2.6	0	0	127	.2	3.5	0	.03	.18	0	20.7	.3	.1	0	.6	.6	0	0	0	.2	0	0	.3	58.5	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	1R	WHEATGERM	F	100	Grams	 	1	mw6 15  updated 20/04/05.  Updated for NDNS rolling programme using flours and grains analytical data, sample 54.  NK 24/1/07	1	0	0	0	0	23	45	41.5	0	107	.82	.51	3.58	.82	11.6	8.4	8.1	227	0	.2	0	0	1045	340	1438	0	0	240	21.4	13.5	3	5.83	8.1	12.7	0	10.8	1047	2.6	27.3	0	.63	1.13	18	20	10.4	1.8	0	4.7	21.4	.01	0	0	2.6	0	0	16.2	9.1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	1R	BRAN WHEAT	F	100	Grams	 	1	Updated for NDNS rolling programme using flours and grains analytical data, sample 53.  NK 24/1/07	1	0	0	0	0	32	65	35.9	0	95	.39	.11	1.39	1.04	33	2.9	8.6	76	0	0	0	0	1269	220	934	0	0	389	17.6	5.85	3	6.31	8.6	32	0	15.3	1078	2.5	14.8	0	.33	.47	14	18.3	2.3	.93	0	2.4	17.6	.01	0	0	1.2	0	0	1	10.4	5.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	1R	CORNFLOUR	F	100	Grams	 	1	mw6 4  updated 26/04/05. Updated for NDNS rolling programme using flours and grains analytical data, sample 47.  NK 24/1/07	1	0	0	0	0	0	2	99	0	30	.05	.04	.36	0	.6	.7	.1	2	0	0	0	0	3	378	1613	0	0	2	0	.01	11	6.25	.1	.1	0	0	17	0	.2	0	0	.12	0	99	0	.02	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	1R	CORNMEAL SIFTED DRY	F	100	Grams	 	1	 	1	0	0	5	38	6	3	80.4	0	12	1.27	.05	1.24	.15	2.2	3.3	1.3	1	0	0	0	3	170	369	1568	0	0	44	0	.2	0	6.25	1.3	2	0	0	120	.7	9.4	0	.08	.53	12	80.4	0	.26	24	1.5	0	0	4	0	.4	3	0	0	12.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	1R	CORN MEAL UNSIFTED DRIED	F	100	Grams	 	1	 	1	0	0	5	38	6	17	80.4	0	12	1.46	.06	1.43	.15	4.3	3.8	4.2	1	0	0	0	3	280	373	1585	0	0	44	0	.2	1	6.25	4.2	2.8	0	0	220	.7	9.3	0	.08	.61	16	80.4	0	.3	24	1.5	0	0	4	0	.4	3	0	0	12.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
